Centroid_Longitude,Centroid_Latitude
55.833,-4.35
133.2333333,35.46666975
145.2666667,43.58333645
144.4,43.9333338
-6.5,37.00003134
-3.08087,54.95719148
-67.64919,11.97349004
92.7,13.09500004
-10.75,6.300000395
-64.1,-64.76700032
34,36.30000443
36.2,45.01666642
-6,35.11666803
41.38,-1.980001096
99.3,7.240003005
106.18306,-6.024170003
108.65396,-7.667630003
106.55,-6.966670002
109.04482,-7.783
112.76055,-5.801040001
123.5,-10.33333005
130.4327,-5.695070005
80.11694,6.116940006
95.30216,5.873920212
5.1,36.76667129
101.18,3.400000008
114.2,22.53
92.61695,11.63139024
-57.25,-35.00001131
47.8167,29.36670013
110.54211,-66.37345031
-57.817,-51.71700191
22,60.00399995
-61.417,-50.96699901
-60.35,-51.38330015
-60.5,-52.233002
-60.5,-52.21699906
-27.75,38.41666703
-60.367001,-52.216999
28.33333,36.68336059
-16.033333,30.03333301
-61.58333,16.25001078
-39.4,-17.20485871
148.16667,-42.08333224
147.61667,-40.86667003
5.25,53.25000002
172.8333,-40.53330526
14.35,35.9667
-3.10394,53.52617086
-16,28.16666707
-13.05,8.616693685
122.43333,-1.416670164
93.05,13.29278
104.06667,2.233330024
-44.95,-3.000049281
21.35,32.76666701
118.0333,5.95000013
93.8,7.000005749
-7.383333333,33.65000043
-103.8166667,18.75000001
92.93444,13.05027
-64.73,18.35000108
-67.08,17.92000069
35.75,35.51667115
101.33,2.940000124
92.68931,12.92292001
163.466667,5.183333028
88.66667,21.88353629
-16.46667,15.91667011
19.05,69.3500028
10.85,63.56667074
-6.18333,36.50000399
-1.78333,43.33333007
12.71667,56.2333311
103.51667,1.266670006
-79,1.266670524
123.29242,9.352580001
67.7,24.10011292
8,36.80000359
9.866666666,2.216667334
-105.88,21.85000002
-104.98,19.48000247
-113.12,26.75000472
-95.03,18.53000159
20,39.83333608
-61.85,17.66666728
-15.83333333,23.75000937
-2.85,35.16667198
10.33333333,34.36667477
10.18333333,37.10000414
165.6561,-21.64251017
-67.47,18.38000012
7.660238758,54.83754045
123.36453,9.851650002
7.324791553,54.84191268
53.483333,12.68333301
-10.366667,6.133333381
-81.733333,8.9333331
-61.45,10.5666675
-38.816667,-17.81668206
18.516667,69.26666862
21,69.78333372
-75.117,23.83300004
-62,10.05
-87.5,13.50000903
115.44,4.920000219
93.06902,12.31445001
92.74139,12.11056
92.75916,12.89917003
92.59986,11.91097001
92.75709,11.63598
-77.45,24.983
-75.967,22.667
-57.33306,-36.03306365
86.999,20.75000293
-62.2,16.683
-60.632999,-51.25000002
-64.86667,32.3
123.14731,9.890610001
-9.917182911,-40.36768637
-73.58333,21.13333037
158.12569,6.799080012
123.90978,10.96545
123.37098,9.842050001
126.23333,6.883331356
93.03167,13.6625
-3.034,35.94016638
92.70472,12.63875001
92.72,13.10000001
-5.460509468,36.04942304
1.44983,38.80702591
1.06117,41.17422013
-66.85002,49.04843008
27.886833,42.64666738
168.39,-17.4900005
115.5167,5.38330045
8.21667,56.700002
-2.666666667,49.46666694
-8.833333333,40.13333402
92.6643,10.98472001
93.02098,13.33986001
92.67861,11.18278001
27.41667,42.50000144
92.74639,11.98458002
92.87222,13.50625002
93.07653,13.30083001
92.84222,13.24722
92.53222,11.79417002
10.71666667,34.65000124
93.08444,11.78264001
93.06431,13.38403001
93.07167,13.42097001
92.8,12.68778
-25.016667,36.95000002
-76.2,23.817
-77.417,23.83300004
-76.25,24.667
-77.317,25.08300007
-64.45,18.433
9.75,40.83333718
9.175,44.30833247
-0.75,37.75001086
61.8,25.08333115
-87.35,20.33000007
-64.6167,18.4167
66.1,25.40001393
109.7167,21.46670084
92.80944,12.93722
-71.57617,18.02197251
-64.4,18.51700001
-87.06667,13.25000002
55.432999,-4.683
43.15,11.58333033
27.61667,42.5833304
-102.87,18.12000001
-60.8,-62.48300066
-1.9666666,49.30000345
20.91666667,56.16670886
145.35,43.30000313
73.79,15.50000003
29.31667,36.18333165
-67.63333,-49.31700659
22.83,58.50139807
-174.03333,-18.70000009
3.31667,39.51667009
45.2,-12.96700051
131.05,38.26667331
-87.4167,13.11670048
-65.08333,-41.46667076
-14.33333,28.05000004
4.05,51.90000104
103.53333,1.383330117
-91.02,19.15000002
-12.917,27.96700185
-6.8,34.06667203
7.41667,43.73333003
-7.06667,33.75
13.31667,54.55000001
120.0611745,-0.594203263
-77,26.40770018
-78.517,26.55
-95.85,18.63004788
3.05,43.15000626
14.38333333,45.75000404
-57.63333,-35.01667056
-15.833333,30.16666806
-64.7167,18.45
-64.3667,18.51670002
148.2,-41.93330046
151.71667,-32.86667103
123.88333,24.30550001
119.13695,10.49728731
123.11278,9.056670001
177.36667,-17.81667003
8.75,42.58000053
110.75,2.75000066
-0.1667,5.66670007
-62.233,16.75
-56.93333,-36.33333091
-64.16667,10.41667001
-90.2,21.05001027
-64.15,11.06667054
-65.93333,10.20000088
55.6666666,-4.650000005
-2.983333333,35.43333524
122.1,25.48300006
120.167,23.96700012
-96.2,15.78000665
-7.8,51.95000032
8.5,63.36667011
113.86667,22.36667026
34.3,44.75002305
35.26667,36.61667589
85.48,19.7100003
-61.61667,10.65
26.91667,38.5000064
37.33333,46.90000116
17.355167,42.55116701
121.06667,27.45000573
92.80987,12.93084
144.08333,-39.75000315
121.183333,13.16666881
-85.85,10.85000001
92.67834,12.37931011
92.79736,13.16806001
92.61486,10.93223001
93.09292,13.41486003
93.10222,13.43277002
92.74444,12.26723004
92.89,13.60000008
-77.533,25.05000005
-57,-37.10000244
123.71667,24.30550001
-170.55,-14.29166702
57.7,-20.45000007
63.45,-19.7
134.24306,7.124440198
13.65,54.33001791
-68.883,-67.76700011
120.467,24.20000064
28.53333,43.51667021
18.25,-33.50013457
134.60323,7.513030034
-112.9833333,28.81666669
35.45,45.30000033
96.81667,-11.81667001
0.596389,51.48555782
116.809021,20.68354309
122.2331,12.64786004
69.58333,22.45833651
108.75,-7.566670019
-6,35.5666709
-13.85,28.71666774
103.97833,2.44167019
-0.6667,5.366700431
-0.3,5.550000238
0.5,5.750001533
-87.0333,15.75000198
-144.6,-15.69511021
19.3667,59.43331395
167.21667,-16.00417002
131.5,33.50000001
-78.79,30.50003962
105.6833,-10.4667
168.95,14.63000148
-159.8,-18.85000001
-159.7667,-21.23330001
169.5833,6.000003833
-171.86666,-13.98306001
-122.5,38.50002661
104.13833,2.314440094
103.66667,4.806670107
-112.233333,29.16667493
-62.9725,17.46778046
120.8167,33.08332727
121.25,39.25000516
114.9,22.55000009
-2.9,53.33333369
-158.46666,-20.35000002
5.78333,53.43342941
123.75694,9.282190001
9.6166666,0.200000172
-13.333333,28.41669148
115.4167,-33.6167004
-64.93333,47.33333295
21.03733,63.43563005
168.6,-46.56670204
11.6667,58.11670612
175.3833,-37.21670319
12.3333,56.98330168
92.59972,11.95250012
-72.3,41.25000307
126.5,36.0000006
-155.91701,-5.617000844
-157.332993,2
106.683,-5.967000001
106.683,-5.967000001
132.542326,-0.362293357
-78.883191,20.82114868
-85.7333,29.19171178
0.35,50.83333239
-4.2,57.68333364
-2.88333,56.01667513
26.43333,40.36668512
27.26667,37.75000459
-80.4333,-3.166700001
105.55,-10.46667001
-159.75,-18.86670004
25.35,64.9333478
-113.8333333,29.45001337
32.25,34.95000021
169.5666667,6.000003835
-172.8,-13.50000155
-171.58333,-13.96666066
-84.7083,28.14171019
-60.917,13.76700006
-5.6,36.01667005
54.93333,25.01667199
11.7,56.18333409
-61.217,14.85000007
15.34583,36.98340466
-3.786331229,36.7351964
57.70388669,-20.4472805
37.216666,20.5500559
-12.683333,-37.30005193
-113.883333,31.58334697
-59.08333,-52.41667071
57.48333,-20.13333001
64.46667,25.2166706
121.9667,31.63331075
-60.917,13.767
11.73333,57.78333627
98.65,9.600010932
16.43333,58.63333325
3.58333,51.71673217
80.05,6.300000053
35.85,45.46666681
35.23333333,44.93333312
-2.116666667,48.96667266
-2.2,49.30000032
168.3847046,-17.49477038
-70.05,12.567
-63.0333,18.28330033
-102.2666667,17.96666686
-9.8,31.50000131
-63,18.12000053
-79.85,-2.216670096
169.467,-77.46700473
92.90055,12.40875
92.17458,13.20014001
123.38965,9.97347
0.33333,53.10000022
-4.86667,54.83333164
8.583333,38.33333641
114.333,22.46700006
63.85,-43.11781934
114.28333,22.51667015
114.25,22.2
124.02084,13.07007002
-62.217,16.783
-2.41667,35.16667012
34.95,32.70000001
120.85,24.61700003
6.75,39.45000006
123.76542,10.66981
118.92695,9.968300004
-178.7,-20.65000016
110.2333333,1.683333436
-79.02,8.950004074
-92.46666667,14.61666731
121.983333,-4.466667003
101.85,2.417000003
-6.233333333,35.03333382
